Intercept,80.5936
cg18593194,1.187981341
cg17944885,-4.210748418
cg04610187,0.720838582
cg13091627,-1.504232244
cg23845009,1.144588915
cg00912580,-0.145003095
cg03607117,-3.570230939
cg10578938,-0.66684641
cg26608718,1.44257369
cg21919729,0.715355086
cg18070458,-0.611108746
cg24707889,0.217438765
cg00506299,0.713228389
cg13408344,-0.627229282
cg09610644,-2.808517299
cg14583999,1.161955594
cg14141741,0.893314163
cg00791074,0.078815788
cg01676795,1.225165483
cg20970369,-1.395116131
cg11961845,-0.080765308
cg20299697,1.400604624
cg23509869,-0.487645261
cg07397612,1.613085839
cg27376617,1.500864179
cg01885635,3.158944134
cg26336935,1.217978667
cg06943835,1.907978271
cg12171761,-0.349230535
cg09823543,1.047142778
cg06449934,0.088173968
cg19458497,0.972434521
cg15232319,-0.55722739
cg22049753,1.215882502
cg09511896,-1.690177727
cg20062057,1.427853994
cg01924561,-1.538274174
cg00934987,0.661461099
cg23511909,0.722246069
cg05062653,-1.596827394
cg11845111,-1.505917398
cg17124293,-1.360253384
cg26687842,-1.991065501
cg06015525,-1.77194467
cg03032497,-1.894683345
cg26344619,0.987025099
cg16324121,-1.234809317
cg23261820,1.635725474
cg00501876,-1.53303399
cg02304370,0.313039803
cg12465678,-1.187503442
cg07781445,0.727037665
cg07477034,1.754136143
cg18473521,-1.655292422
cg25013303,0.387299367
